Musée,Nuléro de caisse,inventaire,inventaire clean,pictures filenames,matériau,matériau simplifié,"matériau (sous-type)
",incertitude sur le matériel,typologie,typologie@en,datation,incertitude sur la datation,provenance (country code),provenance,provenance@en,incertitude sur provenance,nombre de fragements,number of fragments clean,typologies de fragments,taille,poids,lacunaire (observations),% lacunaire,Integrity,degradation state,condition state,weapon,autre dégradations visibles ,observations ,Unnamed: 12,autres observations,Unnamed: 13,Unnamed: 15,obaservations ,NR,"NR 
 collegato",Relazione,Inventario MGGC,Collocazione fisica,"Sala
 mostra",Didascalia,Riproduzione digitale,Consistenza,"Tipologia
 documentaria NO AAT","Tipologia
 documentaria",material_to_technic,Tecnica,"Tipologia riprod. 
in mostra",Soggetti,"Titolo 
 originale",Titolo museale,Titolo @en,Data,Scopritore,Autore_extended,Autore,Traduttore,Disegnatore,Incisore,Editore,"Luogo 
 editore","Preparatore 
 museale",Committente,Collezione_extended,Collezione,"Ente 
 conservatore","Luogo
 conservazione",provenance_file,Regno,Phylum,Classe,Ordine,Famiglia,Genere,Specie,Taxon_data,TIPO,Periodo_geologico,Età_specifica,Formazione_geologica,Ambiente_deposizionale,Stato_geografico_raccolta,Luogo_raccolta
MNC,17,348_2,348_2,"348_2 (2).JPG
348_2 (9).JPG",porcelaine [tendre],porcelaine,tendre,FALSE,vase avec bec verseur ,ewer,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,11,11,"1 plus de 10 cm, 3 plus de 5 cm, 3 entre 5 et 3 cm, 4 moins de 3 cm","13 cm de haut, 10,5 Long, 8 cm de large",, presque complet ,0-5,complete,"cracked / split, dust / dirtying",very good ,explosive bomb,"encrassement, éclat sur la lévre",,,"forme rare pour l'instant pas bcp de théière, décors moulés en reliefs, bonne état pour de la porcelaine tendre, deux étiquettes d'époque;",,,,348_2,,,,17,,"small pitcher, white with flowers in relief",,,ewer,ewers (vessels),porcelaine [tendre],pottery forming techniques,,flowers,,small porcelain ewer with floral decoration in relief ,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,377_1,377_1,377_2 (1).JPG,porcelaine [dure],porcelaine,dure,FALSE,magot d'applique,applique figurine,XVII - XVIII,TRUE,156,Chine {Asie},China {Asia},FALSE,15,15,"1 16,5 cm, 4 entre 8 et 5, 6 entre 3 et 5 cm, 4 3cm et moins","25 cm de long 12 cm de long, 7 cm de large",,environ 10%,10,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,"encrassement, éclat sur la main, quelques lacunes sur les jambes",,,"forme rare pour l'instant pas bcp de statuettes décoratives. Inventaire historique : "" Porcelaine de Chine ; Deux magots d'applique portant chacun un vase ? Destiné à recevoir une petite fleur. Haut : 0,24."" entrée dans les collections en 1806.  ",,,,377_1,,,,17,,small Chinese vase with blue background and gold decoration ,,,applique figurine,applied decoration,porcelaine [dure],pottery forming techniques,,,,Chinese applique figurine,,1600 - 1799,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,377_2,377_2,"377_2 (1).JPG
377_2 (3).JPG",porcelaine [dure],porcelaine,dure,FALSE,magot d'applique,applique figurine,XVII - XVIII,TRUE,156,Chine {Asie},China {Asia},FALSE,3,3," 1 de plus de 15 cm, 8 de 8 et un de 5","25 cm de long , 12 cm de long, 7 cm de large",,complet,0,complete,"cracked / split, dust / dirtying",very good ,explosive bomb,encrassement,,,"paire de l'autre au dessus, une pair symétrique.",,,,377_2,,,,17,,small Chinese vase with blue background and gold decoration ,,,applique figurine,applied decoration,porcelaine [dure],pottery forming techniques,,,,Chinese applique figurine,,1600 - 1799,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,429,429,"429 (18).JPG
429.JPG",porcelaine [dure],porcelaine,dure,FALSE,figurine,figurine,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,4,4,"1 de 12 cm, et 3 petits de moins de 3 cm","12, 5 cm de haut ; 8 cm de large, 10 cm de long",,complet,0,complete,"cracked / split, dust / dirtying",very good ,explosive bomb,encrassement,,,"c'est le bol tenu dans la main du vieux qui cassé, donc probablement une chute de qqch, ou projection sur cette endroit",,,,429,,,,17,,Porcelain figurine. Seated bald-bearded man (monk) wearing a yellow kimono with blue and red motifs. He holds a bowl in his left hand.,,,figurine,figurines,porcelaine [dure],pottery forming techniques,,monk; bowl,,figurine of a seated man cross-legged,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,371,371,"371 (1).JPG
371 (2).JPG
371 (7).JPG",porcelaine [dure],porcelaine,dure,FALSE,bouteille pour conserver le thé,tea storage bottle,XVII -XVIII,TRUE,156,Chine {Asie},China {Asia},FALSE,18,18,"6 8 cm, 7 entre 5 et 8 cm, 5 moins de 3 cm","17cm de haut , 8,4 cm de diamètre ",,"0,2",20,complete archeological profile,"cracked / split, dust / dirtying, lack of adhesion of the glaze",poor,explosive bomb,"encrassement, pb d'adherence du décor galçuré à certains endroits ",,,"le bleu des fleurs surtout, manquant, lacunaire, (certains décors semblent avoir été fait antérieurement à la création à la peinture à l'huile façon restau XIXe). Deux points d'impacts visibles. Inventaire historique : porcelaine de Chine ; autre bouteille de conserve pour le thé, forme cylindrique oblongue, fond céladon, décor en émaux de couleurs : des oiseaux perchés sur un arbuste chargé de fleurs. haut : 0,16."" entrée dans les collections en 1806. ",,,,371,,,,17,,"Chinese porcelain;  tin bottle for tea, oblong cylindrical shape, celadon base, coloured enamel decoration: birds perched on a flower-laden shrub.",,,tea storage bottle,bottles,porcelaine [dure],pottery forming techniques,,birds; flower-laden shrub,,tea storage bottle with enamels ,,1600 - 1799,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,352,352,"352 (13).JPG
352 (14).JPG",porcelaine [dure],porcelaine,dure,FALSE,coupe à pied ; hanses,footed bowl with handles,before XVII,TRUE,156,Chine {Asie},China {Asia},FALSE,11,11,"2 plus de 8 cm, 2 entre 5 et 8, 4 entre 3 et 5cm, 3 moins 3 cm","9,5 de haut 13cm de diamètre ",,moins de 10%,<10,complete archeological profile,cracked / split,very good ,explosive bomb,"plusieurs éclats sous le pieds, sous le pourtour de la panse et sur le col",,,"inventaire historique : ""porcelaine de Chine; Autre écuelle en forme de bassin cylindrique, pied élevés ; anses carrés : décor à ramages en bleu sous couverte. Ancienne fabrication"" entrée dans les collections en 1806. ",,,,352,,,,17,,"Chinese porcelain; Other bowl in the form of a cylindrical basin, high feet; square handles: underglaze blue rampage decoration. Ancient manufacture.",,,footed bowl with handles,bowls (vessels),porcelaine [dure],pottery forming techniques,,,,porcelain footed bowl with blue and white decoration ,,before XVII,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,17,373,373,"373 (1).JPG
373 (2).JPG
373 (8).JPG",porcelaine ,porcelaine,,FALSE,vase ,vase,XVII - XVIII,TRUE,156,Chine {Asie},China {Asia},FALSE,49,49,"3 plus de 12, 6 entre 8 et 10cm, 6 entre 6 et 8 cm, 12 entre 6 et 4 cm, 10 entre 4 et 2 cm, 12 entre 2 et 0 cm","22cm haut, 12 cm de diamètre",,moins de 10%,<10,complete archeological profile,"cracked / split, dust / dirtying, biological degradation/ presence of microorganisms",poor,explosive bomb,,a few missing fragments on the neck + two impact marks on the body with missing + a few missing fragments on the neck + two impact marks on the body with missing,quelques fragments manquants sur le col + deux pts d'impacts sur la panse avec manque + empoussièrement fort et dvlpp de micro-organismes à l'intérieur.,"bcp de typo de fragments différents sur ce vase : des pointus et des rectangulaires. Un ou deux points d'impact visibles. Inventaire historique : ""porcelaine de Chine ; autre de vase de même forme en porcelaine mince : ? De figures représentant une scène d'intérieur. haut : 0,21; XVIIe-XVIIIe siècle."" entrée dans les collections en 1806. ",,,,373,,,,17,,Chinese porcelain; thin porcelain vase. Representation of figures in an interior scene.,,,vase,vases,porcelaine ,pottery forming techniques,,figures in an interior scene,,Chinese porcelain vase depicting an interior scene ,,1600 - 1799,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,37,10169_259,10169_259,"10169_259 (1).JPG
10169_259 (4).JPG
10169_259 (7).JPG",porcelaine [dure] ; dorure peinte,porcelaine,dure + dorure,FALSE,vase à goulot,vase with narrow neck,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,31,31,"2 plus de 10 cm, 4 entre 8 et 6 cm, 3 entre 6 et 4 cm, 12 entre 4 et 2 cm, 10 entre 2 et 0 cm (3 petits moins de 1 cm)",21 cm de haut et 10 cm de diamètre,,entre 10 et 20%,10-20,complete archeological profile,"cracked / split, dust / dirtying, poor adhesion of the gilding",poor,explosive bomb,,"clogging, problems with adhesion of the decoration around the body (painted decoration not baked) and the same for the very fragile gilded decoration on the neck.","encrassement, pb d'adhérence du décor sur le pourtour de la panse (décor peint pas cuit) et idem pour le décor doré sur le goulot très fragile ",,,à manipuler avec précaution à cause des décors peints pas cuit,,10169_259,,,,37,,"Chinese porcelain neck vase, turquoise-blue glaze, gilded decoration on neck and shoulder (Greek frieze motif). ",,,vase with narrow neck,vases,porcelaine [dure] ; dorure peinte,"pottery forming techniques, gilding (technique)",,,,turquoise bottle with gilt,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,35,1201,1201,"1201 (1).JPG
1201 (4).JPG",porcelaine [dure],porcelaine,dure,FALSE, plat,plate,XIX,TRUE,392,Japon {Asie} ,Japan {Asia},FALSE,22,22,"3 plus de 20cm, 1 entre 18 et 20 cm, 1 entre 18 et 16 cm,1 entre 12 et 14 cm, 4entre 12 et 10 cm, 9 entre 10 et 8 cm, 6 entre 8 et 6 cm, 15 entre 6 et 4 cm, 32 entre 4 et 2 cm, 12 entre 2 et 0 cm. ","39,5 cm de diamètre ",,un quasi complet (lacunaire moins de 10 %) et l'autre quelques lacunes mais pareil mois de 10%),<10,complete archeological profile,"cracked / split, aging of old restauration products",very good ,explosive bomb,"encrassement, éclats traces d'anciennes restau (plâtres) ","old wall-hanging systems still present on both, old labels front and back, impact point visible on one. Old kraft paper sleeves from the first sorting after the bombing, with pen and ink writing that reads “flat” and “porcelain”. Entered the collections in 1829.",,"anciens systèmes d'accroche murale encore présent sur les deux, anciennes étiquettes recto et verso, point d'impact visible sur un des deux. Anciennes pochettes papier kraft du premier tri après le bombardement avec écriture à la plume encre on peut lire ""plat"" et 'porcelaine"".  entrée dans les collections en 1829.",,,,1201,,,,35,,"Japanese porcelain. medium polychrome and gold decoration dish.  curlicue frieze on gold background, with coat of arms: in the serpentine branches, in blue monochrome enhanced with gold.",,,plate,"""plates (general, dishes)""",porcelaine [dure],pottery forming techniques,,serpentine branches,,Japanese porcelain decorative dish,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,35,1201 (bis),1201 (1),"1201_4 (1).JPG
1201_4 (2).JPG
",porcelaine [dure],porcelaine,dure,FALSE,plat,plate,XIX,TRUE,392,Japon {Asie} ,Japan {Asia},FALSE,62,62,,"39,5 cm de diamètre ",,quelques lacunes mais pareil mois de 10%),<10,complete archeological profile,"cracked / split, aging of old restauration products",very good ,explosive bomb,,,,,,,,1201 (1),,,,35,,"Japanese porcelain. medium polychrome and gold decoration dish.  curlicue frieze on gold background, with coat of arms: in the serpentine branches, in blue monochrome enhanced with gold.",,,plate,"""plates (general, dishes)""",porcelaine [dure],pottery forming techniques,,serpentine branches,,Japanese porcelain decorative dish,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,21,6484_2,6484_2,"6484-2 (10).JPG
6484-2 (12).JPG
6484-2 (4).JPG",porcelaine [dure],porcelaine,dure,FALSE,bol ,bowl,XVIII,FALSE,156,Chine {Asie},China {Asia},FALSE,7,7,"1 plus de 10 cm, 1 entre 8 et 10 cm, 4 entre 8 et 6 cm, 1 entre 6 et 4 cm ","15 cm de diamètre et 7,5 cm de haut ",,moins de 10%,<10,complete archeological profile,"cracked / split, biological degradation/ presence of microorganisms",good,explosive bomb,"encrassement et dégradation bio logique (concression maritime + deux coquilles ), un manque sur la lèvre ","label underneath stating its archaeo-maritime aspect, discovered in Sweden in 1867, traces of old restos on the shells (traces of glue, shellac type?). Historical inventory: china porcelain: a hemispherical bowl with a wide tray, buff-brown deep-fired ground, decorated on both sides of the bafsin with circular squared fleurages and friezes, in blue monochrome. Note: the pieces were part of the cargo of a ship belonging to the Swedish East India Company, which sank on reaching its destination in the port of Gottenbourg in 1745, where they remained buried until 1864, when a local merchant had them removed; reported and donated by Mr. Axel Bielke.""",,"étiquette en dessous qui fait état de son aspect archéo maritime, découver en Suéde en 1867, traces d'anciennes restos sur les coquilles (traces de colles, type gomme laque ?). Inventaire historique : porcelaine de la chine : un bol hémisphérique avec large plateau, fond brun chamois au grand feu, décorés d'un et l'autre à l'intérieur du bafsin de fleurages et de frises circulaires quadrillés, en camaïeu bleu. Nota. les pièces ont fait partie du chargement d'un navire de la compagnie Suédoise des indes orientales, qui sombra en arrivant à destination dans le port de Gottenbourg en 1745, où elles demeurèrent ensevelies jusqu'en 1864, époque où un négociant de la ville les en fit retirer ; rapporté et donné par Mr le compte Axel Bielke."" entrée dans les collections en septembre 1867. ",,,,6484_2,,,,21,,"china porcelain: a hemispherical bowl with a large tray, with a deep-fired buff-brown ground, decorated on the inside with blue-cameo fleurages and squared circular friezes. Note: the pieces were part of the cargo of a ship belonging to the Swedish East India Company, which sank on reaching its destination in the port of Gottenbourg in 1745, where they remained buried until 1864, when a local merchant had them removed;",,,bowl,bowls (vessels),porcelaine [dure],pottery forming techniques,,blue-cameo fleurages,,Chinese porcelain bowl with marine concretions ,,1700-1799,,,,,,,,,,,donated by Mr. Axel Bielke.,Mr. Axel Bielke Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MNC,4,10169_372,10169_372,"10169-372 (1).JPG
10169-372 (3).JPG",porcelaine [tendre (?)],porcelaine,tendre,TRUE,vase,vase,XIX,TRUE,156 (?),Chine (?) {Asie},China {Asia},TRUE,13,13,"3 entre 16 et 18 cm, 2 entre 8 et 10 cm, 5 entre 6 et 8 cm, 3 entre 6 et 4 cm","26, 5 cm de haut et 8 cm de diamètre ",,moins de 10%,<10,complete archeological profile,"cracked / split, dust / dirtying",good,explosive bomb,"encrassement, lacunes col et éclats panse ","two old labels under the foot, concerning the nature of the paste = water droplet test absorbs therefore porous material",,"deux anciennes étiquettes sous le pied, concernant la nature de la pâte = test de la goute d'eau absorbe donc matériau poreux. ",,,,10169_372,,,,4,,"Beige long vase, closed form. Crackled enamel",,,vase,vases,porcelaine [tendre (?)],pottery forming techniques,,,,small elongated vase ,,1800-1899,,,,,,,,,,,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_porcelaine.csv,,,,,,,,,,,,,,,
MIC,,"3460,1 -3500,1 (1)","3460,1-3500,1 (1)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG
3460-3500.png",maiolica [faïence],faïence,maiolica,FALSE,carreau de pour panneau mural ,tile for wall panel,XVII,FALSE,528,Pays-Bas {Europe},Netherlands {Europe},FALSE,7,7,Tailles variées en tous allant de 10 cm à 2 cm,13 cm de côté,,variable moins de 5% à plus de 60 %,<5,complete,"burn mark, melting of the glaze, broken / stuck, fusion of exogenous elements",bad,incendiary grenade,"noircissements et reflets métalliques visible sur la glaçure, concressions d'autres éléments exogènes par fusion des révêtements, cassés collés presque tous, craquelures du revêtements pour les morceaux les plus brûlés.",originally a whole panel of several dozen of these tiles. We have selected only a representative sample so as not to study them all.,,à l'origine panneau entier de plusieurs dizaine de ces carreaux. Nous avons sélectionner seulement un échantillon représentatif pour ne pas tous les étudier. ,,,,"3460,1-3500,1 (1)",,,,,,Dutch white and blue tiles  ,,,tile for wall panel,wall tile (tile),maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,,,Dutch white and blue tiles  ,,1600-1699,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv,,,,,,,,,,,,,,,
MIC,,"3460,1 -3500,1 (2)","3460,1-3500,1 (2)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG
3460-3500.png",maiolica [faïence],faïence,maiolica,FALSE,carreau de pour panneau mural ,tile for wall panel,XVII,FALSE,528,Pays-Bas {Europe},Netherlands {Europe},FALSE,7,7,,13 cm de côté,,,10-20,complete archeological profile,"broken / stuck, burn mark, metallization traces",bad,incendiary grenade,,,,,,,,"3460,1-3500,1 (2)",,,,,,Dutch white and blue tiles  ,,,tile for wall panel,wall tile (tile),maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,,,Dutch white and blue tiles  ,,1600-1699,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,,,,,,,,,,,,,,,,
MIC,,"3460,1 -3500,1 (3)","3460,1-3500,1 (3)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG
3460-3500.png",maiolica [faïence],faïence,maiolica,FALSE,carreau de pour panneau mural ,tile for wall panel,XVII,FALSE,528,Pays-Bas {Europe},Netherlands {Europe},FALSE,4,4,,13 cm de côté,,,15-20,complete archeological profile,"broken / stuck, burn mark, metallization traces",bad,incendiary grenade,,,,,,,,"3460,1-3500,1 (3)",,,,,,Dutch white and blue tiles  ,,,tile for wall panel,wall tile (tile),maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,,,Dutch white and blue tiles  ,,1600-1699,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,,,,,,,,,,,,,,,,
MIC,,"3460,1 -3500,1 (4)","3460,1-3500,1 (4)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG
3460-3500.png",maiolica [faïence],faïence,maiolica,FALSE,carreau de pour panneau mural ,tile for wall panel,XVII,FALSE,528,Pays-Bas {Europe},Netherlands {Europe},FALSE,2,2,,13 cm de côté,,,>50,incomplete,"broken / stuck, lack of adhesion of the glaze, fusion of exogenous elements, metallization traces",bad,incendiary grenade,,,,,,,,"3460,1-3500,1 (4)",,,,,,Dutch white and blue tiles  ,,,tile for wall panel,wall tile (tile),maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,,,Dutch white and blue tiles  ,,1600-1699,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,,,,,,,,,,,,,,,,
MIC,,"3460,1 -3500,1 (5)","3460,1-3500,1 (5)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG
3460-3500.png",maiolica [faïence],faïence,maiolica,FALSE,carreau de pour panneau mural ,tile for wall panel,XVII,FALSE,528,Pays-Bas {Europe},Netherlands {Europe},FALSE,5,5,,13 cm de côté,,,<25,complete archeological profile,"broken / stuck, burn mark, fusion of exogenous elements, lack of adhesion of the glaze, metallization traces",bad,incendiary grenade,,,,,,,,"3460,1-3500,1 (5)",,,,,,Dutch white and blue tiles  ,,,tile for wall panel,wall tile (tile),maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,,,Dutch white and blue tiles  ,,1600-1699,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,,,,,,,,,,,,,,,,
MIC,,"343,1","343,1","343,1 (16).JPG
343,1 (2).JPG
343,1 (3).JPG
343,1 (8).JPG",maiolica [faïence],faïence,maiolica,FALSE,soupière,soup tureen,XVII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,17,17,globalement entre 6 et 8 cm et quelques petits fragments de moins de 2 cm. ,"d'après le duplicat n°14571 en vitrine h 19,5 et 25x27",,plus 70%,>70,incomplete,"burn mark, broken / stuck, melting of the glaze",bad,incendiary grenade,"très lacunaire, fonte du smalte, changement de couleur des décors ","duplicate in the museum's display case, with the same seal visible, shows that the original decoration was green and not blue.",,"duplicat présenter dans la vitrine du musée, avec le même sceau visible, permet de savoir qu'à l'origine le décor était bien vert et par bleu. ",,,,"343,1",,,,,,"Earthenware tureen, green floral frieze along the rim with coat of arms on each side. ",,,soup tureen,soup tureens,maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,flowers,,Earthenware tureen with coat of arms,,1600-1699,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv,,,,,,,,,,,,,,,
MIC,,"410,1 ou SN_Alberghi","410,1","410,1 (ou SN Alberghi) (1).JPG
410,1 (ou SN Alberghi) (3).JPG
410.png",maiolica [faïence],faïence,maiolica,FALSE,porte-œufs sur pied,standing egg holder,XVIII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,entier ,1,,"21 cm de diamètre, 10 cm de h",,entier,0,complete,"burn mark, deformation, fusion of exogenous elements, melting of the glaze",bad,incendiary grenade,"fusion du revêtement, élèments exogènes incrustés, noircissements, déformation +++","rare object, strange deformation, looks like it has been broken in two and remelted by the heat in the wrong position",,"objet rare, déformation étrange, on dirait qu'il a été cassé en deux et refusionné par la chaleur mal positionné",,,,"410,1",,,,,,standing egg holder with yellow and blue floral decoration,,,standing egg holder,egg stands,maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,flowers,,standing egg holder,,1700-1799,,,,,,,,,,,Donation Alberghi,Alberghi Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv,,,,,,,,,,,,,,,
MIC,,"9630,1","9630,1","9630,1 (2).JPG
9630,1 (4).JPG
9630,1 (6).JPG
9630.png",maiolica  [faïence],faïence,maiolica,FALSE,plaque dévotionnelle ,devotional plaque,XVIII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,7,7,"1 entre 24 et 26 cm, 3 entre 12 et 14, 1 entre 14 et 16, 2 entre 10 et 12, ","34,5x27 cm ",,entier,0,complete,"fusion of exogenous elements, burn mark, melting of the glaze, broken / stuck",bad,incendiary grenade,"noircissement total du centre empêchant toute lisibilité du décor et de la figure centrale, morceau exogène de céramique assez gros (13 cm) pris dans la glaçure et fusé avec le reste; craquelure profondes ","the yellow in the lower part is intact, where the title and the work are written, and which enabled it to be identified in the historical inventory. Without it, it's impossible to see it in its current state.",,"le jaune dans la partie basse est intact, c'est là qu'est écrit le titre et l'œuvre et qui a permis de l'identifier dans l'inventaire historique. Sans ça impossible vu l'état",,,,"9630,1",,,,,,santa maria gratiarum earthenware devotional plaque. Full-length saint in the center holding arrows in each hand,,,devotional plaque,devotional plaques,maiolica  [faïence],"pottery forming techniques, pottery glazing (process or technique)",,saint,,Santa Maria Gratiarum,,1700-1799,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv,,,,,,,,,,,,,,,
MIC,,"1185,2","1185,2","1185,2 (6).JPG
1185,2 (9).JPG
1185.png",maiolica  [faïence],faïence,maiolica,FALSE,coupe sur pied,footed bowl,XX,FALSE,380,Italie {Europe} (manufacture Ginori),Italy {Europe} (Ginori manufacture),FALSE,17,17,"diverses tailles allant de plus de 10 cm à 2 cm, difficle à mesurer car arrondie et déjà cassé/collé","h 12 cm sans le pied (partie manquante entre la base du pied et la base de la coupe donc incertitude sur la taille), largeur du col 15 cm",,"0,3",30,incomplete,"metallization traces, burn mark, cracked / split, broken / stuck",bad,incendiary grenade,"noircissement complet de certains fragments mais que sur la face externe, reflet métallique également visible, aspet ridés du revêtement un peu partout et présence d'éléments exogènes sur une petite partie. ",,,,,,,"1185,2",,,,,,"yellow earthenware footed cup, Ginnori production",,,footed bowl,footed bowls,maiolica  [faïence],"pottery forming techniques, pottery glazing (process or technique)",,,,Ginnori cup,,1900-1999,,Ginnori factory,Ginnori manufacture,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv,,,,,,,,,,,,,,,
MIC,,"4611,1","4611,1","4611,1 (1).JPG
4611,1 (2).JPG
4611,1 (5).JPG",maiolica  [faïence],faïence,maiolica,FALSE,albarello,albarello,XVIII,FALSE,380,Italie {Europe},Italy {Europe},FALSE,10,10,diverses tailles allant entre 12 et 10 cm à 4 cm; toute la base est compléte et en un seul morceau jusqu'à une hauter d'environ 1/3 du vase. ,"17 cm de haut, largeur 10 cm",,20-15 %,15-20,complete archeological profile,"burn mark, metallization traces, broken / stuck",bad,incendiary grenade,"noircissment complet de certaines partie comme l'objet du dessus, et que sur la face externe aussi. Effets métallique également présent avec des traces de rose sur le revêtement.",,,,,,,"4611,1",,,,,,albarello with withe and blue decorations,,,albarello,albarelli,maiolica  [faïence],"pottery forming techniques, pottery glazing (process or technique)",,,,white and blue earthenware albarelle ,,1700-1799,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv,,,,,,,,,,,,,,,
MIC,,"4651,1","4651,1","4651,1 (1).JPG
4651,1 (8).JPG
4651.png",maiolica [faïence],faïence,maiolica,FALSE,cafetière ,coffee pot,XVIII,FALSE,380,Italie {Europe} (production Faenza),Italy {Europe} (Faenza production),FALSE,13,13,diverses tailles allant entre 14 cm à 3 cm; toute la base est compléte et en un seul morceau jusqu'à une hauter d'environ 1/2  du vase sur le côté gauche.  ,19 cm de haut 14x ? cm L/l (pas d'anse pour la longueur difficile à dire),,"0,1",10,restored,"burn mark, broken / stuck, cracked / split",poor,incendiary grenade,"noircissement seulement du fond blanc, tout le décor jaune est intact ",This particularity of the fire-resistant yellow has been observed in other ceramics from the same period/production. Interesting to investigate.,,cette particularité du jaune qui resisté visiblement à l'incendie a été observée dans d'autres céramiques de la même époque/production. Intéréssant à creuser. ,,,,"4651,1",,,,,,coffee pot with yellow flower decoration,,,coffee pot,coffeepots,maiolica [faïence],"pottery forming techniques, pottery glazing (process or technique)",,flowers,,yellow flower coffee pot,,1700-1799,,,,,,,,,,,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv,,,,,,,,,,,,,,,
