museum,inventory,pictures filenames,material,provenance (country code),provenance,number of fragments,lacunary percentage,Integrity,degradation state,condition state,weapon,observations ,NR,Collocazione fisica,Didascalia,Riproduzione digitale,"Tipologia
 documentaria NO AAT","Tipologia
 documentaria",Tecnica,Soggetti,Titolo museale,Titolo @en,Data,Autore,Collezione,"Ente
 conservatore","Luogo
 conservazione",provenance_file
MIC,"3460,1-3500,1 (2)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG",faïence,528,Netherlands {Europe},7,10-20,complete archeological profile,"broken / stuck, burn mark, metallization traces",bad,incendiary grenade,,"3460,1-3500,1 (2)",,Dutch white and blue tiles  ,,tile for wall panel,wall tile (tile),"pottery forming techniques, pottery glazing (process or technique)",,Dutch white and blue tiles  ,,1600-1699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,
MIC,"3460,1-3500,1 (3)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG",faïence,528,Netherlands {Europe},4,15-20,complete archeological profile,"broken / stuck, burn mark, metallization traces",bad,incendiary grenade,,"3460,1-3500,1 (3)",,Dutch white and blue tiles  ,,tile for wall panel,wall tile (tile),"pottery forming techniques, pottery glazing (process or technique)",,Dutch white and blue tiles  ,,1600-1699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,
MIC,"3460,1-3500,1 (4)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG",faïence,528,Netherlands {Europe},2,>50,incomplete,"broken / stuck, lack of adhesion of the glaze, fusion of exogenous elements, metallization traces",bad,incendiary grenade,,"3460,1-3500,1 (4)",,Dutch white and blue tiles  ,,tile for wall panel,wall tile (tile),"pottery forming techniques, pottery glazing (process or technique)",,Dutch white and blue tiles  ,,1600-1699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,
MIC,"3460,1-3500,1 (5)","3460,1-3500,1 (2).JPG
3460,1-3500,1 (7).JPG
3460,1_3500,1 (1).JPG",faïence,528,Netherlands {Europe},5,<25,complete archeological profile,"broken / stuck, burn mark, fusion of exogenous elements, lack of adhesion of the glaze, metallization traces",bad,incendiary grenade,,"3460,1-3500,1 (5)",,Dutch white and blue tiles  ,,tile for wall panel,wall tile (tile),"pottery forming techniques, pottery glazing (process or technique)",,Dutch white and blue tiles  ,,1600-1699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,
MIC,"343,1","343,1 (16).JPG
343,1 (2).JPG
343,1 (3).JPG
343,1 (8).JPG",faïence,380,Italy {Europe},17,>70,incomplete,"burn mark, broken / stuck, melting of the glaze",bad,incendiary grenade,"duplicate in the museum's display case, with the same seal visible, shows that the original decoration was green and not blue.","343,1",,"Earthenware tureen, green floral frieze along the rim with coat of arms on each side. ",,soup tureen,soup tureens,"pottery forming techniques, pottery glazing (process or technique)",flowers,Earthenware tureen with coat of arms,,1600-1699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv
MIC,"410,1","410,1 (ou SN Alberghi) (1).JPG
410,1 (ou SN Alberghi) (3).JPG",faïence,380,Italy {Europe},1,0,complete,"burn mark, deformation, fusion of exogenous elements, melting of the glaze",bad,incendiary grenade,"rare object, strange deformation, looks like it has been broken in two and remelted by the heat in the wrong position","410,1",,standing egg holder with yellow and blue floral decoration,,standing egg holder,egg stands,"pottery forming techniques, pottery glazing (process or technique)",flowers,standing egg holder,,1700-1799,,Alberghi Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv
MIC,"9630,1","9630,1 (2).JPG
9630,1 (4).JPG
9630,1 (6).JPG",faïence,380,Italy {Europe},7,0,complete,"fusion of exogenous elements, burn mark, melting of the glaze, broken / stuck",bad,incendiary grenade,"the yellow in the lower part is intact, where the title and the work are written, and which enabled it to be identified in the historical inventory. Without it, it's impossible to see it in its current state.","9630,1",,santa maria gratiarum earthenware devotional plaque. Full-length saint in the center holding arrows in each hand,,devotional plaque,devotional plaques,"pottery forming techniques, pottery glazing (process or technique)",saint,Santa Maria Gratiarum,,1700-1799,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv
MIC,"1185,2","1185,2 (6).JPG
1185,2 (9).JPG",faïence,380,Italy {Europe} (Ginori manufacture),17,30,incomplete,"metallization traces, burn mark, cracked / split, broken / stuck",bad,incendiary grenade,,"1185,2",,"yellow earthenware footed cup, Ginnori production",,footed bowl,footed bowls,"pottery forming techniques, pottery glazing (process or technique)",,Ginnori cup,,1900-1999,Ginnori manufacture,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv
MIC,"4611,1","4611,1 (1).JPG
4611,1 (2).JPG
4611,1 (5).JPG",faïence,380,Italy {Europe},10,15-20,complete archeological profile,"burn mark, metallization traces, broken / stuck",bad,incendiary grenade,,"4611,1",,albarello with withe and blue decorations,,albarello,albarelli,"pottery forming techniques, pottery glazing (process or technique)",,white and blue earthenware albarelle ,,1700-1799,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv
MIC,"4651,1","4651,1 (1).JPG
4651,1 (8).JPG",faïence,380,Italy {Europe} (Faenza production),13,10,restored,"burn mark, broken / stuck, cracked / split",poor,incendiary grenade,This particularity of the fire-resistant yellow has been observed in other ceramics from the same period/production. Interesting to investigate.,"4651,1",,coffee pot with yellow flower decoration,,coffee pot,coffeepots,"pottery forming techniques, pottery glazing (process or technique)",flowers,yellow flower coffee pot,,1700-1799,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Faïence-maiolica.csv
MIC,"669,1","669,1 (8).JPG
669,1 (9).JPG
669,1.JPG",faïence,380,Italy {Europe},7,<10,complete archeological profile,"broken / stuck, burn mark, fusion of exogenous elements, melting of the glaze",bad,incendiary grenade,,"669,1",,"old earthenware dish, graffito splashed, with medallion portrait of a woman in the center",,plate,"""plates (general, dishes)""","pottery forming techniques, slip trailing, scratching (process)",woman,gammelio dish with portrait of woman ,,1400-1499,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_faïence engobée.csv
MIC,"10548,1-10565,1","10548,1-10565,1 (2).JPG
10548,1-10565,1 (6).JPG
10548,1-10565,1 (8).JPG",faïence,642,Romania {Europe},30,15-20,incomplete,"broken / stuck, burn mark, melting of the glaze, fusion of exogenous elements, lack of adhesion of the glaze",bad,incendiary grenade,,"10548,1-10565,1",,"Rustic pottery, engobed earthenware and sgraffito painted decoration, Romanian production ",,jug,jugs (vessels),"pottery forming techniques, slip trailing, pottery painting (image-making)",,engobe pottery from romania ,,1800-1899,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_faïence engobée.csv
MIC,"382,1","382,1 (1).JPG
382,1 (13).JPG
382,1 (6).JPG",faïence,380,Italy {Europe} (Faenza),79,30,incomplete,"broken / stuck, burn mark, melting of the glaze, fusion of exogenous elements",poor,incendiary grenade,,"382,1",,blue and white engobed medicine vase. Circular inscription in capital letters: DIOSCORD ,,apothecary jar,apothecary containers,"pottery forming techniques, slip trailing",,blue and white medicine jar ,,600-699,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_faïence engobée.csv
MIC,"1539,2","1539,2 (12).JPG
1539,2 (9).JPG
1539,2.JPG",terre cuite,392,Japan {Asia},30,>30,complete archeological profile,"broken / stuck, burn mark, melting of the glaze, fusion of exogenous elements, lack of stability",poor,incendiary grenade,"more than half the base missing = stability problem, handle with care. Collected. Contained in museum showcase 190 before the war.","1539,2",,Japanese brown glazed terracotta vase with flowers and birds. ,,vase,vases,"pottery forming techniques, pottery decorating techniques",flowers; birds,large japanese terracotta vase with flower and bird design ,,1900-1999,,Japenese Earl Ogasawara Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Terre cuite.csv
MIC,"2308,1","2308,1 (6).JPG
2308,1 (8).JPG",terre cuite,818,Egypt {North Africa},15,>30,incomplete,"cracked / split, burn mark, deformation, powderiness",bad,incendiary grenade,,"2308,1",,Ancient archeological egyptian vase with rounded belly,,vase with rounded belly,vases,pottery forming techniques,,painted Coptic vase ,,- 1550 - 1186,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Terre cuite.csv
MIC,"7429,1","7429,1 (6).JPG
7429,1 (7).JPG
7429,1 (8).JPG",terre cuite,818,Egypt {North Africa} (Coptic),1,10-15,incomplete,"deformation, burn mark",poor,incendiary grenade,"it looks like some parts of the base have been broken off, detached and then remelted (but it's strange because there's no visible coating).","7429,1",,Coptic conical vase with painted decorations,,conical vase,vases,"pottery forming techniques, pottery painting (image-making)",,Coptic conical vase ,,300-699 ,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Terre cuite.csv
MIC,,"SN Alberghi 2 (1).JPG
SN Alberghi 2 (12).JPG
SN Alberghi 2 (3).JPG
SN Alberghi 2.JPG
",terre cuite,604,Peru {South America} (Chimù culture),1,<10,complete,"burn mark, lack of stability",very good ,incendiary grenade,"this vase has a post-war duplicate. The duplicate is black, whereas the pre-war one is red. Possibly due to oxidation during the fire. The traces of black behind could therefore be the original color.",,,Cimù head-shaped vase,,head-shaped vase,vases,pottery forming techniques,Cimù head,anthropomorphic cimù vase ,,1400 - 1599,,Alberghi Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Terre cuite.csv
MIC,"4265,1","4265,1 (1).JPG
4265,1 (7).JPG",terre cuite,380,Italy {Europe} (Apulia),45,20-25,complete archeological profile,"broken / stuck, deformation, burn mark",fair,incendiary grenade,,"4265,1",,black medium crater with floral frieze,,crater,kraters,"pottery forming techniques, pottery decorating techniques",flowers,Apula black crater ,,- 300 - 201,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Terre cuite.csv
MIC,"194,2","194,2 (2).JPG
194,2 (6).JPG",grés,380,Italy {Europe} (Chini manufacture),53,20,complete archeological profile,"broken / stuck, burn mark",fair,incendiary grenade,,"194,2",,"cachepot with black friezes decarations, deer and leaves",,cachepot,cachepots,pottery forming techniques,deer; leaves,Chini cachepot,,1900-1999,Chini manufacture,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Grès.csv
MIC,"2857,2","2857,2 (1).JPG
2857,2 (17).JPG",grés,246,Finland {Europe} (Helsinki),30,10,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements",poor,incendiary grenade,Two visible impact points,"2857,2",,White and red quadrangular vase ,,quadrangular vase,vases,pottery forming techniques,,white stoneware quadrangular vase ,,1938,Helsingfor manufacture,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_Grès.csv
MNC,12548,"12548 (3).JPG
12548 (5).JPG
",faïence,250,France {Europe} (Nevers),45,35,restored,"aging of old restauration products, dust / dirtying, broken / stuck",good,explosive bomb,"objet déjà remonté et recollé donc difficile de faire la typo des fragment, mais sur environ entre 40 et 50 fragements au mois au moins la moitié sont des tessons de petites tailles (entre 2 et 4 cm ou moins de 2 cm). Gors marquage au feutre en double sous le pied. Inventaire hist. : ""12584 Boule reposant sur piédouche (porte perruque) décor camaïeu bleu de trois médaillons de fleurs et feuillages. Haut 0,21 ; Don de Mr Pisani."" entrée dans les collections entre 1903 et 1910. ",12584,39,Ball resting on a pedestal (wig stand) with blue monochrome decoration of three medallions of flowers and foliage,,decorative globe on a stand; wig holder,wig stands,pottery forming techniques,medallions; flowers; foliage,blue and white earthenware wig holder ,,1700-1799,,Mr. Pisani Donation,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_Faïence.csv
MIC,20548,"20548 (16).JPG
20548 (2).JPG
20548 (22).JPG",faïence,380,Italy {Europe},33,<10,complete archeological profile,"aging of old restauration products, dust / dirtying, biological degradation/ presence of microorganisms",bad,explosive bomb," déjà restauré, donc difficile de savoir son état avant le bombardement mais si restauré à l'ialienne, alors probablement qu'à part la tranche en plâtre il était complet, ancienne étiquette à l'intérieur avec écrit Turin XVIIIe. Et au dos écriture Mili Fali (?) illisible. Inventaire hist. : "" Faïence de Milan, XVIIIe : grande cuvette ovale, contournée, décor polychrome de grand feu. Au marli, fleurs indiennes, oiseaux et insectes. Au fond cartouche contenant deux personnages dans un paysage architectural en camaïeu bleu et manganèse ; L 370mm; pièce trouvée au dépôt sans n°, très réparée, morceaux manquant, irréparable."" entrée dans les collections inconnue, mais potentiellement durant la guerre entre 1941 et 1943. (quelle était la politique d'acquisition du musée pendant la guerre ?). ",20548,39,"Milanese earthenware, 18th century: large oval bowl, contoured, polychrome high-fire decoration. On the rim, Indian flowers, birds and insects. On the bottom, cartouche containing two figures in an architectural landscape in blue and manganese monochrome",,plate,"""plates (general, dishes)""",pottery forming techniques,"fire; Indian flowers, birds;  insects; architectural landscape",Milan earthenware dish with polychrome decoration,,1700-1799,,,Sèvres - Manufacture et Musée nationaux [VIAF:153148184],Sèvres,sevres_Faïence.csv
MIC,"4187,1","4187,1 (1).JPG
4187,1 (6).JPG",terraglia,826,England {Europe},1,<10,complete archeological profile,"burn mark, metallization traces",poor,incendiary grenade,under the handle is a particularly shiny metallic sheen of Arabic ceramics,"4187,1",,"terraglia coffee pot with blue dechalcomania decoration representing a seascape with a sailboat
",,coffee pot,coffeepots,pottery forming techniques,seascape; sailboat,coffee maker with sailboat design,,1700-1799,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_terraglia.csv
MIC,SN_Alberghi,"SN Alberghi (2).JPG
SN Alberghi (6).JPG
SN Alberghi (7).JPG
",terraglia,380,Italy {Europe} (Faenza),>100,20-25,restored,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck, metallization traces",bad,incendiary grenade,"very heterogeneous deterioration, particularly difficult to read; complex two-part shape, with some parts in 3D and others in semi-relief.",,,"oil cruet holder with antique decorations: obelisk and friezes
",,oil cruet,cruets (condiment vessels),pottery forming techniques,obelisk; friezes,Oil cruet with antique-style decoration,,1775 - 1825,,Alberghi Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_terraglia.csv
MIC,"1615,2","1615,2 (11).JPG
1615,2 (13).JPG
1615,2 (17).JPG",porcelaine,392,Japan {Asia},66,10,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",poor,incendiary grenade,difficult to say the morphology of the fragments with precision has already been glued back together. From the museum's pre-war showcase 190.,"1615,2",,large porcealin vase with floral decorations,,vase,vases,pottery forming techniques,flowers,Japanese vase with floral decorations ,,1800-1899,,,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_porcelaine.csv
MIC,"1604,2","1604,2 (1).JPG
1604,2 (2).JPG
1604,2 (3).JPG
1604,2 (6).JPG
",porcelaine,392,Japan {Asia},10,30,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it is laid flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927.","1604,2",21,small porcelain plate with golden decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,,plate with golden dragons ,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_porcelaine.csv
MIC,"1607,2","1607,2.JPG
1607,2(1).JPG",porcelaine,392,Japan {Asia},19,40,complete archeological profile,"burn mark, melting of the glaze, broken / stuck",bad,incendiary grenade,,"1607,2",21,small porcelain plate with waves and birds decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,waves; birds,plate with waves and birds,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_porcelaine.csv
MIC,"1609,2","1609,2.JPG
1609,2(1).JPG",porcelaine,392,Japan {Asia},15,20,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,,"1609,2",21,small plate with tree and deer decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,tree; deer,plate with deer and tree,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},16,20,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it lies flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (motif with mountain in background).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},15,20,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it lies flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (motif with sunflowers).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},14,10,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it is laid flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (decoration with large peony-style flowers).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},23,15,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible in the silver photo because it lies flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (motif with large rose-like flowers in the foreground).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},10,10,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war showcase 190, but not visible in the silver photo because it was laid flat, and it was impossible to find the inventory numbers corresponding to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (motif with umbrella pines, the one with the shard completely melted).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},20,15,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it is laid flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927. (décor with lake and umbrella pines).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},24,30,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it lies flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (motif with the little house at the bottom).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},15,10,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it lies flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (motif with mountain in background).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
MIC,"1600,2-1601,2 -1602,2-1603,3-1605,2-1606,2-1608,2-1610,2-1611,2","1600,2-1611,2(1).JPG
1600,2-1611,2(2).JPG
1600,2-1611,2(3).JPG
1600,2-1611,2(4).JPG
1600,2-1611,2(5).JPG
1600,2-1611,2(6).JPG
1600,2-1611,2(7).JPG
1600,2-1611,2(8).JPG
1600,2-1611,2(9).JPG
1600,2-1611,2(10).JPG
1600,2-1611,2(11).JPG
1600,2-1611,2(12).JPG",porcelaine,392,Japan {Asia},20,10,complete archeological profile,"burn mark, melting of the glaze, fusion of exogenous elements, broken / stuck",bad,incendiary grenade,"comes from the museum's pre-war vitrine 190, but is not visible on the silver photo because it is laid flat, and it is impossible to find the inventory numbers that correspond precisely to the object among the 11 other similar objects in the section; donated to the museum by the Count of Tokyo in 1927 (motif with a kind of vine flower and lake ? blue-green).",,21,small porcelain plate with landscape and floral decorations,,plate,"""plates (general, dishes)""",pottery forming techniques,landscape; flowers,plate with landscape,,1850,,Earl of Tokyo,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_porcelaine.csv
MIC,SI_Alberhi v.178,"DSC_0108.JPG
DSC_0116.JPG
",porcelaine,156,China {Asia},80,<10,complete archeological profile,"broken / stuck, burn mark, melting of the glaze, fusion of exogenous elements",poor,incendiary grenade,comes from showcase 178 in the pre-war museum. Difficult to morph the fragments as they are already glued.,,3,large ciottola (dish) with phoenix and dragons ,,large ciottola (dish),dishes (vessels for food),pottery forming techniques,phoenix; dragons ,large ciottola with dragons and phoenix ,,1800-1899,,Alberghi Donation,MIC Museo Internazionale della Ceramica in Faenza [VIAF:140363668],Faenza,faenza_porcelaine.csv
MIC,SI_Alberghi v.178.1,"DSC_0154.JPG
DSC_0157.JPG
",porcelaine,156,China {Asia},125,20,complete archeological profile,"broken / stuck, burn mark, melting of the glaze",poor,incendiary grenade,"comes from showcase 178 in the pre-war museum. Difficult to morph the fragments as they are already glued. But many small and very small fragments (less than 2cm),",,3,"large ciottola (dish) with flower and interior scenes
",,large ciottola (dish),dishes (vessels for food),pottery forming techniques,flowers; interior scenes,large ciottola with floral decorations and interior scenes ,,1800-1899,,Alberghi Donation,MIC Museo Internazionale della Ceramica in Faenza,Faenza,faenza_porcelaine.csv
